screen_name,user_id,location,description,url,gender,party,state,district
RepRobWoodall,2382685057,"Lawrenceville, GA; Wash., D.C.","U.S. Representative for the Seventh District of Georgia. Serving on the Rules Committee, Transportation & Infrastructure Committee, and House Budget Committee.",http://t.co/twbdtrZomN,M,R,GA,7.0
RepJimmyGomez,2371339658,"Los Angeles, CA","Official account for U.S. Congressman Jimmy Gomez (CA-34, Los Angeles). Cmtees: @WaysMeansCmte @OversightDems Find us on FB: https://t.co/1pRH7kHn00",https://t.co/PTPcf8ooHN,M,D,CA,34.0
RepKClark,2293131060,,Vice Chair of the House Democratic Caucus. Proudly representing the people of the 5th District of Massachusetts.,https://t.co/qWMKEO845O,F,D,MA,5.0
RepByrne,2253968388,Southwest Alabama,I am proud to represent Alabama's First Congressional District in the U.S. House of Representatives. Official Congressional Account,https://t.co/u2pktSNMc6,M,R,AL,1.0
SenBooker,2167097881,"New Jersey * Washington, DC","The U.S. Senate Office of Cory Booker, D-NJ. Tweets by staff.",http://t.co/bl28yzvbjQ,M,D,NJ,
RepGuthrie,1908143071,Kentucky's Second District,Fighting for conservative values in Washington while representing the people of Kentucky's 2nd Congressional District,https://t.co/o8TdiWaWnj,M,R,KY,2.0
USRepKCastor,1880674038,,"Tampa Bay's Congresswoman 🇺🇸 Chair, House Committee on the Climate Crisis",https://t.co/H9etkVz65v,F,D,FL,14.0
RepBlaine,1849261916,Missouri's 3rd District,Proudly serving Missouri's 3rd Congressional District. House @FinancialCmte and @HouseSmallBiz Commitee member.,https://t.co/HAAAI7JpAI,M,R,MO,3.0
RepJasonSmith,1623308912,MO-08,Honored to represent the families of Missouri's 8th Congressional District in the United States House of Representatives.,http://t.co/dxAOG6A9MK,M,R,MO,8.0
RepBeatty,1531521632,Ohio's Third District,"Official Twitter account for Congresswoman Beatty, representing Ohio's Third Congressional District in the U.S. House of Representatives.",https://t.co/ZrsTik4dBm,F,D,OH,3.0
USRepLong,1444015610,,Representing Missouri’s 7th District in the United States Congress - Member of the House Energy and Commerce Committee,https://t.co/uG5DCdtUfQ,M,R,MO,7.0
PeterWelch,1410590874,"Vermont and Washington, DC","Official Twitter Account for Congressman Peter Welch, proudly representing the great state of Vermont in the U.S. House of Representatives.",http://t.co/P7VlnuEP0v,M,D,VT,0.0
RepRobinKelly,1339931490,,"Official Twitter account for Robin Kelly, U.S. Representative #IL02.",https://t.co/7pZornDHqs,F,D,IL,2.0
Rep_Hunter,1305596696,,Proudly representing California’s 50th District https://t.co/0yyKBsCmQe,https://t.co/JmFka1DZNM,M,R,CA,50.0
RepChrisSmith,1289319271,,"Proud to represent the 4th Congressional District of New Jersey.

Social media policy: https://t.co/vKjnDqaOS5",http://t.co/a3ZJUqfRSg,M,R,NJ,4.0
RepJuanVargas,1260172386,"SD/Imperial Counties, CA","Official Twitter account of Rep. Vargas, representing southern San Diego County, all of Imperial County and California's entire U.S.-Mexico border. #CA51",http://t.co/m3QdRCZFO0,M,D,CA,51.0
senatemajldr,1249982359,"Washington, DC",U.S. Senate Majority Leader Mitch McConnell,https://t.co/J5RQpHiTgo,M,R,KY,
RepBrownley,1243902714,"Ventura County & Washington, DC",Serving #CA26 & fighting for Ventura County. Chairwoman of @VetAffairsDems Health Subcommittee & #WomenVetsTaskForce. Member of @TransportDems & @ClimateCrisis.,,F,D,CA,26.0
RepCardenas,1222257180,"San Fernando Valley, CA",Proud to represent California's 29th District - the San Fernando Valley - in The People’s House. Member of @EnergyCommerce,https://t.co/LEayHjDmFc,M,D,CA,29.0
SteveScalise,1209417007,"Jefferson, LA",House Republican Whip. Dad. LSU & Saints fan. Proudly representing Louisiana’s First District.,https://t.co/vKBoGD7Spm,M,R,LA,1.0
repmarkpocan,1206227149,"Madison, WI",Honored to serve the people of Wisconsin's Second District. Co-Chair of @USProgressives and @LGBTEqCaucus. Member of @AppropsDems. He/Him/His.,https://t.co/IvGB2NpiqX,M,D,WI,2.0
RepDonaldPayne,1155335864,www.facebook.com/DonaldPayneJr,The NRA gave me an F because I want to end gun violence. Father of triplets. Son of Newark. Proudly serving New Jersey's 10th Congressional District.,,M,D,NJ,10.0
RepDWStweets,1140648348,Weston & Washington,U.S. Congresswoman proudly representing the people of Florida's 23rd District in our nation's capital.,http://t.co/L7PfQxOrER,F,D,FL,23.0
RepScottPeters,1135486501,"San Diego, Poway, Coronado","Serving #CA52. I will support and defend the Constitution of the United States against all enemies, foreign and domestic.",https://t.co/IHSIVY4ZHZ,M,D,CA,52.0
MartinHeinrich,1099199839,,United States Senator from New Mexico,https://t.co/97adkYcq3x,M,D,NM,
SenatorRisch,1096059529,Boise,U.S. Senator for Idaho,https://t.co/QMGG1eEAGz,M,R,ID,
RepCheri,1092979962,"Illinois & Washington, D.C.","Serving Illinois’ 17th District. Former reporter working in Congress #ForThePeople. Athlete, wife and mother of three sons. Facebook & Instagram: RepCheri.",https://t.co/o22FqkWab3,F,D,IL,17.0
CongressmanRuiz,1089859058,,Emergency medicine physician and public servant. Proudly serving California's 36th Congressional District.,http://t.co/sgTdElO4,M,D,CA,36.0
RepAndyBarr,1089334250,"Lexington, KY",Honored to represent Kentucky's Sixth Congressional District.  Fighting to get Kentuckians back to work and restore fiscal responsibility to Washington,http://t.co/XNnauaj5,M,R,KY,6.0
RepFilemonVela,1083448909,"District 34, Texas",U.S. Congressman for the 34th District of Texas - Privileged to represent South Texans.,https://t.co/PYuChi0OLA,M,D,TX,34.0
SenatorSinema,1080844782,,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",https://t.co/WrlaMe6YPs,F,D,AZ,
RepBillFoster,1080509366,"Naperville, IL",Congressman Bill Foster is a scientist and businessman representing the 11th Congressional District of Illinois,https://t.co/MUUnxZciRU,M,D,IL,11.0
RepRWilliams,1077446982,Central Texas,I am honored to represent the 25th Congressional District of Texas. Member of @FinancialCmte.,http://t.co/JVoBEX18T4,M,R,TX,25.0
RepLoisFrankel,1077121945,,Representative from Florida's 21st Congressional District. Co-Chair of @HouseDemWomen.,https://t.co/37xQooMGQ9,F,D,FL,21.0
SenatorBaldwin,1074518754,"Washington, D.C.","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.",http://t.co/p7vErFeoRD,F,D,WI,
SenTedCruz,1074480192,"Houston, Texas",Representing the State of Texas in the United States Senate.,https://t.co/9HWCyvsTvJ,M,R,TX,
RepPaulCook,1074412920,"Apple Valley, California",Twenty-six year retired @USMC Colonel serving as a United States Congressman from California's 8th Congressional District. Join the conversation #CA08 #Semperfi,http://t.co/vy6a8Rp8SU,M,R,CA,8.0
RepVeasey,1074129612,"Dallas-Fort Worth, Texas",Represent Dallas-Fort Worth | Assistant Whip | @energycommerce & Small Biz | #GunViolencePrevention Taskforce Whip | Voting Rights Caucus 🗳 +@bluecollardems,https://t.co/o4DuQsMYT7,M,D,TX,33.0
SusanWBrooks,1074101017,,Serving the good people of Indiana’s 5th District in Congress. Facebook: https://t.co/LPD9s9AMeh Instagram: @susanwbrooks,https://t.co/JSQOTU8q0S,F,R,IN,5.0
RepSeanMaloney,1072467470,"Cold Spring, NY",Representing NY’s 18th Cong’l Dist. Husband & dad w/ 3 amazing kids. Goal is to remain adult in Washington. Working on Intel to keep USA safe & free. 🇺🇸🏳️‍🌈,https://t.co/TJD06OL7bP,M,D,NY,18.0
RepChrisStewart,1072008757,Utah and DC,"Utah's 2nd District Congressman. Former Air Force B-1 pilot, author, House Intelligence, Budget, & Appropriations Committees. Visit https://t.co/GUW6weAva6",http://stewart.house.gov,M,R,UT,2.0
RepTedYoho,1071900114,,Representing Florida's 3rd Congressional District; large animal veterinarian; conservative business owner; Member of @HouseForeignGOP  & @HouseAgGOP Committees,https://t.co/9wBRsUS6FX,M,R,FL,3.0
RepSchneider,1071840474,Illinois,Proud to represent the people of Illinois's 10th Congressional District,http://t.co/sVfHx7ZP,M,D,IL,10.0
SenatorFischer,1071402577,,U.S. Senator and Cherry County rancher working to bring some Nebraska common sense to Washington,http://t.co/0O49SY7v,F,R,NE,
RepHuffman,1071102246,California's North Coast,Congressman for California's North Coast. On Facebook at https://t.co/a4QfL2Jw5p.   Listen to my brand new podcast at https://t.co/XDE8MuHKxF,http://t.co/1EuZeNQsh6,M,D,CA,2.0
RepLaMalfa,1069124515,Northern California,"Representing California's First District including Siskiyou, Shasta, Tehama, Butte, Glenn, Modoc, Lassen, Plumas, Sierra, Nevada and Placer Counties",http://t.co/zhUYypSZHQ,M,R,CA,1.0
RepDennyHeck,1068499286,"South Puget Sound, WA","Proudly representing #WA10 in Congress. Husband, (gran)dad, @GonzagaBulldogs fan & #12thMan.  Serves on @HouseIntel (#FollowtheFacts), @FSCDems, and @JECDems.",https://t.co/MntdmHywxT,M,D,WA,10.0
SenAngusKing,1068481578,,News from the office of Independent U.S. Senator Angus King of Maine. Operated by the Press Team. Following/retweeting does not equal an endorsement.,http://t.co/i9TZOoGqOm,M,,ME,
RepWalorski,1065995022,,Representing Indiana's Second Congressional District,http://t.co/1c3JNm0kJ5,F,R,IN,2.0
TulsiPress,1064206014,,"Aloha - Official account of Rep Tulsi Gabbard (HI-02), managed by staff. (Use of TG's military rank, title, or photo do not imply Army or DoD endorsement.)",https://t.co/v6vyBxswOs,F,D,HI,2.0
RepDougCollins,1060487274,"Gainesville, Georgia","Working for Georgia's 9th Congressional District. Pastor, attorney, military chaplain. Ranking Member of @JudiciaryGOP.",https://t.co/6yvc1EfV0T,M,R,GA,9.0
RepMullin,1060370282,Oklahoma,Father of six. Small business owner. Honored to represent Oklahoma’s conservative values in Congress. https://t.co/0jHkAECORk,https://t.co/Qv5teppuYQ,M,R,OK,2.0
RepDerekKilmer,1058917562,,"Representing Washington's 6th District in the House of Representatives           
Facebook: https://t.co/Q846OoBuMH
Instagram: https://t.co/4fkuLkAa0e",http://t.co/Gxq1ZBnp,M,D,WA,6.0
RepAnnieKuster,1058717720,NH's 2nd District,Honored to serve the people of New Hampshire’s Second District in Congress.,http://t.co/1ApjVskz3y,F,D,NH,2.0
SenDuckworth,1058520120,,"Official Twitter account for U.S. Senator Tammy Duckworth. For more information, visit",https://t.co/LDObT9hkrZ,F,D,IL,
RepHolding,1058460818,,Raleigh native representing North Carolina's 2nd district in Congress.,http://t.co/zH2CxxmUzu,M,R,NC,2.0
RepTomRice,1058345042,,Former CPA and tax lawyer. Proudly representing South Carolina's 7th Congressional District. Find me on FB at https://t.co/1YXogZ4l3N.,http://t.co/S6o0ATa6,M,R,SC,7.0
TXRandy14,1058051748,"Friendswood, TX",Representative for the 14th Congressional District of Texas. https://t.co/3YiUH3WeW6 | Instagram: TXRandy14,https://t.co/8FFRq1l3TV,M,R,TX,14.0
RepJoeKennedy,1055907624,,"Official Twitter account of Congressman Joe Kennedy III, representing Massachusetts' 4th Congressional District.",https://t.co/rYNEysanC2,M,D,MA,4.0
RepLowenthal,1055730738,"Long Beach, CA",Proudly serving California's 47th Congressional District. http://t.co/pHmhAyCM6J,http://t.co/0MV3JJn9EM,M,D,CA,47.0
RepAnnWagner,1051446626,"Ballwin, MO",Official Twitter account for Congresswoman Ann Wagner-- proudly Representing the 2nd Congressional District of Missouri https://t.co/6TKCrqRcSw,https://t.co/tFjsHUzj16,F,R,MO,2.0
